year,month,day,title,director,cast,genre,href,gross(RM),Budget(Rm)
2001,9,13,Cheritera,Edwin Argh,"Ahmad Tarmimi Serigar, M. Rajoli, Vanida Imran, Azmil Mustapha, Rosnani Jamil, Hafiz Asyaraf, Ebby Yus, Isma Aliff, Harun Salim Bachik, Noor Nikman Dadameah",Animation / Children,,,
2001,9,27,Cinta Tiada Restu,Azman Mohd Yusof,"Salehuddin Hasan, Surni Salasan, Abu Bakar Omar, Kartina Aziz, Jasmin Hamid, Yusof Chong, Aneesa, Opie Zami",Musical / Romance,,,
2001,10,18,Spinning Gasing,Teck Tan,"Ellie Suriaty, Craig Fong, Corinne Adri, Edwin R. Sumun, Sanjeet Jarnail, Hani Mohsin, Rosyam Nor, Frankie Lee, Jalaluddin Hassan",Drama / Romance,,,
2001,10,25,Kaki Bakar,U-Wei Saari,"Khalid Salleh, Nasrizal Ngasri, Kuswadinata, Anwar Idris, Azizah Mahzan, Jamaluddin Kadir, Kamarool Yusof, Ochee, Liza Rafar, Azmi Suhaimi (Tam), JD Khalid",Drama,,,
2001,11,1,The Deadly Disciple,S. Mohan,"Vishal Kotian, Christina Hoh, Sanjay Singh, Jessie Lim, Jacinta Lee, Farouk Hussein, Dalip Singh, Serbegeth Singh, Jins Shamsuddin, Kuswadinata",Action / Comedy / Fantasy,,,
2001,12,14,Lagi Lagi Senario,Aziz M. Osman,"Azlee Senario, Mazlan Senario, Saiful Apek, Wahid Senario, Yassin Senario, Wardina Safiyyah, Ani Maiyuni, Accapan, Robert Kong, Osman Kering, Syanie, Erma Fatima, Aziz M. Osman, Nasir Ali, Prono, William Atkinson",Comedy,,,
2002,1,24,KL Menjerit,Badaruddin Azmi,"Rosyam Nor, Nisdawati, Faizal Hussein, Danny X-Factor, Saiful Apek, Liza Hanim, Hasnul Rahmat, Rashidi Ishak, Rahim Razali, Vanida Imran, Sathiya, Kudsia Kahar, Khairil",Action / Romance,,,
2002,2,21,Anak Mami The Movie,Abdul Razak Mohaideen,"Farouk Hussin, Emylia Rosnaida, Fiza Elite, Shukor Mohaideen, Mas Naida, Zahida Rafik, Norlia Ghani, Cico Harahap, Piee, Ismail Din, Kartina Aziz, Maideen, Wan Maimunah, Eja, Lan Pet Pet, Shafi Khan, Nasir Ali",Comedy / Family,,,
2002,3,7,Idola,Aziz M. Osman,"Norman Hakim, Normala Samsudin, Jeslina Hashim, Sharifah Aleya, Danny X-Factor, Sheila Mambo, Wahid Senario, M. Rajoli, Julie Dahlan, Nor Aliah Lee, Halim Othman, Tuty, Diana Danielle",Romance / Comedy,,,
2002,3,28,Mendam Berahi,Z. Lokman,"Nurul Jasmin Deo, Shaleen Cheah, Tracy Trinita, Rita Rudaini, Jalaluddin Hassan, Jaira Gomez, Eizlan Yusof, Zami Ismail, Yasin Sulaiman, Alu T. Gonzalez, Imuda, Mokhtaruddin, Hussein Abu Hassan, Mega Utami",Action / Romance,,,
2002,5,23,Gerak Khas The Movie II,Yusof Haslam,"AC Mizal, Abby Abadi, Juliana Banos, Azri Iskandar, Normala Samsudin, Jalaluddin Hassan, Ida Nerina, Faizal Hussein, Mazlan Pet Pet, Afdlin Shauki, Yusry KRU",Action / Crime,,,
2002,8,1,Embun,Erma Fatima,"Umie Aida, Hani Mohsin, Aqasha, Izi Yahya, Rahim Razali, Khatijah Tan, Ellie Suriaty, Ahmad Tarmimi Serigar, Mak Kwai Yuen, Riezman, Wan Shades, Loloq, Razak Ahmad, Ismail Din",Drama / Romance,,,
2002,8,29,Mr. Cinderella,Ahmad Idham,"Erra Fazira, Yusry KRU, Umie Aida, Aziz M. Osman, Helmi Gimmick, Opie Zami, Khatijah Ibrahim, M. Rajoli, Serina Redzuawan, Kudsia Kahar, A. R. Badul, Ropie Cecupak, Adik Tuty, Osman Kering, Yunni Nor Leitey",Comedy / Romance,,,
2002,12,6,Mami Jarum,Abdul Razak Mohaideen,"Kartina Aziz, Vanida Imran, Zahida Rafiq, Rita Rudaini, Sheila Mambo, Ezad Exists, Piee, Maideen, Ismail Din, Norlia Ghani, Rosnah Mat Aris, Rashidi Ishak, Azizah Ali, Cico, Mahdi Jalut, Chik",Comedy / Family,,,
2002,12,6,Cinta 200 Ela,Shadan Hashim,"Rashid Sidek, Wardina Safiyyah, Raja Azura, Man Bai, Sophia Ibrahim, Redzuan Hashim, Mahyon Ismail, Zaibo, Rambo Chin, Ramasundram",Drama / Romance,,,
2002,12,20,Soalnya Siapa?,Othman Hafsham,"Erra Fazira, Afdlin Shauki, Zaibo, Piee, Khatijah Tan, Ellie Suriaty, Rashid Salleh, Wan Maimunah, Sharifah Shahira, Linda Onn, Jaafar Onn, Aziz Sattar, Yusni Jaafar",Comedy / Romance,,,
2003,1,30,Gila-Gila Pengantin,Aziz M. Osman,"Erra Fazira, Norman Hakim, Juliana Banos, Hairie Othman, Salleh Yaacob, Syanie Hisham, M. Rajoli, A. R. Badul, A. Galak, Aimi Jarr",Romance / Comedy,,,
2003,2,27,Iskandar,Nagaraj,"Awie, Jeslina Hashim, Farouk Hussein, Bob Lokman, Jalaluddin Hassan, Radhi Khalid, Hetty Sarlene, Bob Khairul, Aleeza Kassim, Maideen, Accapan, Ameng Spring, Terry Gallyot, Hamidah Wahab, Buvanes",Action / Comedy,,,
2003,3,29,Laila Isabella,Rashid Sibir,"Rosyam Nor, Nasha Aziz, Saiful Apek, Syanie, Hans Isaac, Erma Fatima, Liza Hanim, Yusni Jaafar, Azean Irdawaty, Kudsia Kahar, Seelan Paul, Norsuehada Hamid, SM Salim",Comedy / Romance,,,
2003,4,24,Mistik,Abdul Razak Mohaideen,"Cico Harahap, Nisdawati, Shaleen Cheah, Rita Rudaini, Masnaida, Al-Fathir Muchtar, Ezad Exists, Zahan, Farid, Catriona, Uji Rashid, Ismail Din",Horror / Thriller,,,
2003,5,29,Mami Jarum Junior,Abdul Razak Mohaideen,"Rita Rudaini, Ezad Exists, Azza Elite, Ismail Din, Norlia Ghani, Piee, Maideen, Vanida Imran, Zahida Rafiq, Sheila Mambo, Rosnah Mat Aris, Rashidi Ishak",Comedy / Family,,,
2003,6,26,Black Maria,Ambri Kailani Zain,"Nisdawati, Eizlan Yusof, Azhar Sulaiman, Joe Radzwill, Julia Hana, Hamidah Wahab, Fasha Sandha, Hisham Ahmad Tajudin, Dian P. Ramlee, Zainurdin Ismail, Rose Iskandar, Mohd Razib, Zack Idris, Aida Aris, Zahida Rafik, Zizie Ezette",Drama / Action,,,
