,names,links,product_ids,images,lowPrice,highPrice,price,bestRating,worstRating,ratingCount,ratingValue
19,ZANZEA Women's Floral V-Neck Ruffled Flared Sleeve Loose Tops,https://shopee.com.my/ZANZEA-Women's-Floral-V-Neck-Ruffled-Flared-Sleeve-Loose-Tops-i.26973388.438655868,438655868,https://cf.shopee.com.my/file/c637e4f8572b152cbc7d0fda7b1cfff0,,,28.00,5.0,1.0,2201,4.79
20,Women Strap Sleeveless Loose Retro Vintage Plus size Maxi Dress,https://shopee.com.my/Women-Strap-Sleeveless-Loose-Retro-Vintage-Plus-size-Maxi-Dress-i.26973388.1943732293,1943732293,https://cf.shopee.com.my/file/96403509a500dc4fc4d5a8ce9e0b8d46,,,21.50,5.0,1.0,1667,4.82
21,ZANZEA Summer Women Casual Plus Size Long Sleeve Loose Blouse,https://shopee.com.my/ZANZEA-Summer-Women-Casual-Plus-Size-Long-Sleeve-Loose-Blouse-i.26973388.1947602338,1947602338,https://cf.shopee.com.my/file/faa7fa2941fb2722a53287a63772552c,,,25.30,5.0,1.0,2272,4.81
22,ZANZEA Women Casual Long Sleeve Elastic Waist Front Pockets Muslim Set,https://shopee.com.my/ZANZEA-Women-Casual-Long-Sleeve-Elastic-Waist-Front-Pockets-Muslim-Set-i.26973388.6051433141,6051433141,https://cf.shopee.com.my/file/118fd72679672cba887d7aba5793b057,,,49.00,5.0,1.0,156,4.85
23,ZANZEA Women Casual Bohemina Vintage Print Tie Front Maxi Dress,https://shopee.com.my/ZANZEA-Women-Casual-Bohemina-Vintage-Print-Tie-Front-Maxi-Dress-i.26973388.5016323603,5016323603,https://cf.shopee.com.my/file/d67cd2cd9c138a21c4fc9a48a9cbca71,,,39.50,5.0,1.0,1293,4.90
24,Womens Vintage Round Neck Irregular Hem Cotton Linen Loose Tops,https://shopee.com.my/Womens-Vintage-Round-Neck-Irregular-Hem-Cotton-Linen-Loose-Tops-i.26973388.1287555235,1287555235,https://cf.shopee.com.my/file/a9f8ceebd9f07d4bed91a90940f1913c,,,24.80,5.0,1.0,1794,4.86
25,ZANZEA Women's Patchwork Dress Evening Party Cocktail Maxi Dress,https://shopee.com.my/ZANZEA-Women's-Patchwork-Dress-Evening-Party-Cocktail-Maxi-Dress-i.26973388.1291022208,1291022208,https://cf.shopee.com.my/file/32df00609549be0816ab75b31893356a,,,26.00,5.0,1.0,1912,4.87
26,ZANZEA Women Vintage Long Sleeve Button Down Frilled Hem Muslim Dress,https://shopee.com.my/ZANZEA-Women-Vintage-Long-Sleeve-Button-Down-Frilled-Hem-Muslim-Dress-i.26973388.5351395820,5351395820,https://cf.shopee.com.my/file/c7aa7707e693d01279879e2e2f042009,,,32.00,5.0,1.0,228,4.93
27,ZANZEA Womens 3/4 Sleeve V Neck Button Down Casual Loose Blouse,https://shopee.com.my/ZANZEA-Womens-3-4-Sleeve-V-Neck-Button-Down-Casual-Loose-Blouse-i.26973388.2649236584,2649236584,https://cf.shopee.com.my/file/e21988ae835f5381cf4ca690db278484,,,25.06,5.0,1.0,1811,4.79
28,ZANZEA Women V-Neck 3/4 Sleeve Casual Loose Oversize Split Blouse,https://shopee.com.my/ZANZEA-Women-V-Neck-3-4-Sleeve-Casual-Loose-Oversize-Split-Blouse-i.26973388.2221026729,2221026729,https://cf.shopee.com.my/file/577be5d715ac135e9c4f2b167341ffcc,,,23.00,5.0,1.0,1735,4.80
29,ZANZEA Women Casual Long Sleeve Plus Size Plain Crewneck Tops,https://shopee.com.my/ZANZEA-Women-Casual-Long-Sleeve-Plus-Size-Plain-Crewneck-Tops-i.26973388.2124104406,2124104406,https://cf.shopee.com.my/file/be8a4205c838094acb8867b529bd05df,,,25.50,5.0,1.0,1653,4.92
30,ZANZEA Women's Plus Size Casual Cropped Capris Cotton Loose Trousers,https://shopee.com.my/ZANZEA-Women's-Plus-Size-Casual-Cropped-Capris-Cotton-Loose-Trousers-i.26973388.1349270729,1349270729,https://cf.shopee.com.my/file/7e124276509e36c60d483c564dc6d0e7,,,27.00,5.0,1.0,2718,4.86
31,ZANZEA Womne Casual Elastic Cuffs Puff Sleeve Plaid Muslim Long Dress,https://shopee.com.my/ZANZEA-Womne-Casual-Elastic-Cuffs-Puff-Sleeve-Plaid-Muslim-Long-Dress-i.26973388.7543378705,7543378705,https://cf.shopee.com.my/file/1c641a7b5790af0b1ae2eb434d42573c,,,33.50,5.0,1.0,355,4.96
32,ZANZEA Women's Casual Plus Size Flare Swing Peplum Midi Dress,https://shopee.com.my/ZANZEA-Women's-Casual-Plus-Size-Flare-Swing-Peplum-Midi-Dress-i.26973388.1673479800,1673479800,https://cf.shopee.com.my/file/b6d1877c3ea6cc7b4354c2d730d4b7eb,,,30.50,5.0,1.0,1009,4.89
33,ZANZEA Women Long Sleeve Button Up Pullover Tunic Mini Dress,https://shopee.com.my/ZANZEA-Women-Long-Sleeve-Button-Up-Pullover-Tunic-Mini-Dress-i.26973388.1305966099,1305966099,https://cf.shopee.com.my/file/fc097271d0dde71e795e8ae48ed8328c,,,28.00,5.0,1.0,1111,4.81
34,ZANZEA Women Fashion Round Neck Sleeveless Long Jumpsuit,https://shopee.com.my/ZANZEA-Women-Fashion-Round-Neck-Sleeveless-Long-Jumpsuit-i.26973388.1147652275,1147652275,https://cf.shopee.com.my/file/6a57792dbec541ce363db2d931510b87,,,31.50,5.0,1.0,345,4.92
35,ZANZEA Women's Plus Size Floral Round Neck Long Sleeve Blouse,https://shopee.com.my/ZANZEA-Women's-Plus-Size-Floral-Round-Neck-Long-Sleeve-Blouse-i.26973388.1756222993,1756222993,https://cf.shopee.com.my/file/ce5d0e913ed4e3f2df810e443838801a,,,24.00,5.0,1.0,1676,4.88
36,ZANZEA Women Summer Peplum Plus size Button Down Blouse,https://shopee.com.my/ZANZEA-Women-Summer-Peplum-Plus-size-Button-Down-Blouse-i.26973388.1837653775,1837653775,https://cf.shopee.com.my/file/60bf17323cd72cb4046a67e350444f29,,,31.50,5.0,1.0,1563,4.94
37,ZANZEA Women Cutton Oversized 3/4 Sleeve Baggy Pockets Crewneck Maxi Long Dress,https://shopee.com.my/ZANZEA-Women-Cutton-Oversized-3-4-Sleeve-Baggy-Pockets-Crewneck-Maxi-Long-Dress-i.26973388.397050114,397050114,https://cf.shopee.com.my/file/8253599626ee3301383c9deb1c5fb19c,,,38.00,5.0,1.0,782,4.89
38,ZANZEA Women's Plus Size Long Jacket Trench Coat,https://shopee.com.my/ZANZEA-Women's-Plus-Size-Long-Jacket-Trench-Coat-i.26973388.525664050,525664050,https://cf.shopee.com.my/file/f579958223a9f0215f8ff2ac72248cc2,,,26.16,5.0,1.0,914,4.84
